tag,batch,growout_site,region,length_mm,sample_status,tank,treatment,death,death_date,notes
B875,ULM-1-COP,COP,S,72,G,6,H,Y,10/20/2022,
B876,ULM-1-COP,COP,S,73,G,7,L,Y,10/21/2022,
B877,ULM-1-COP,COP,S,77,O,12,C,,,
B878,ULM-1-COP,COP,S,67,VSO,9,L,Y,10/18/2022,
B879,ULM-1-COP,COP,S,87,G,5,H,Y,10/29/2022,
B880,ULM-1-COP,COP,S,67,SO,3,C,,,
B881,ULM-1-COP,COP,S,65,O,4,L,Y,10/19/2022,
B882,ULM-1-COP,COP,S,72,O,10,C,Y,11/1/2022,
B883,ULM-1-COP,COP,S,62,SO,8,C,,,
B884,ULM-1-COP,COP,S,73,O,5,H,Y,11/3/2022,
B885,ULM-1-COP,COP,S,83,G,1,L,Y,10/17/2022,
B886,ULM-1-COP,COP,S,59,O,8,C,,,
B887,ULM-1-COP,COP,S,76,O,1,L,Y,10/19/2022,
B888,ULM-1-COP,COP,S,82,O,7,L,Y,10/19/2022,
B889,ULM-1-COP,COP,S,77,G,11,H,Y,10/18/2022,
